wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
200 1728912079797.0479 1728912082940.5686 3143.520751953125 3146.568603515625 redis-benchmark-00001-deployment-847b675f9c-c424g
350 1728912077719.5842 1728912083134.4924 5414.908203125 5419.492431640625 redis-benchmark-00001-deployment-847b675f9c-chwrr
5 1728912083037.575 1728912083138.9353 101.3603515625 104.935302734375 redis-benchmark-00001-deployment-847b675f9c-ldp9k
2 1728912083172.4932 1728912083235.8513 63.358154296875 65.851318359375 redis-benchmark-00001-deployment-847b675f9c-842cx
2 1728912083330.6604 1728912083340.3293 9.6689453125 15.329345703125 redis-benchmark-00001-deployment-847b675f9c-q2q2t
1 1728912083387.2805 1728912083433.0574 45.77685546875 51.057373046875 redis-benchmark-00001-deployment-847b675f9c-hqgjz
500 1728912075958.411 1728912083828.0615 7869.650634765625 7875.0615234375 redis-benchmark-00001-deployment-847b675f9c-82ttn
50 1728912083497.0354 1728912084133.3613 636.325927734375 639.361328125 redis-benchmark-00001-deployment-847b675f9c-c4l4g
30 1728912083908.5452 1728912084330.174 421.62890625 426.174072265625 redis-benchmark-00001-deployment-847b675f9c-bcwgd
30 1728912084151.8218 1728912085043.8298 892.008056640625 897.829833984375 redis-benchmark-00001-deployment-847b675f9c-6gd7m
2000 1728912048711.0217 1728912087535.4868 38824.465087890625 38827.48681640625 redis-benchmark-00001-deployment-847b675f9c-6gd7m
3 1728912087603.3884 1728912087637.8499 34.46142578125 39.849853515625 redis-benchmark-00001-deployment-847b675f9c-pj79f
700 1728912079951.4697 1728912091035.5708 11084.10107421875 11087.57080078125 redis-benchmark-00001-deployment-847b675f9c-ldw4v
700 1728912080307.7185 1728912091240.7988 10933.080322265625 10941.798828125 redis-benchmark-00001-deployment-847b675f9c-m2sv4
700 1728912080874.003 1728912092034.115 11160.112060546875 11163.114990234375 redis-benchmark-00001-deployment-847b675f9c-p2lfw
40 1728912091339.1794 1728912092234.095 894.91552734375 898.094970703125 redis-benchmark-00001-deployment-847b675f9c-np498
50 1728912092095.4094 1728912092941.5173 846.10791015625 849.517333984375 redis-benchmark-00001-deployment-847b675f9c-82ttn
500 1728912085056.895 1728912093137.2075 8080.3125 8083.20751953125 redis-benchmark-00001-deployment-847b675f9c-td22z
30 1728912093374.5454 1728912093828.3054 453.760009765625 456.305419921875 redis-benchmark-00001-deployment-847b675f9c-chwrr
200 1728912091112.8984 1728912094131.232 3018.33349609375 3022.23193359375 redis-benchmark-00001-deployment-847b675f9c-dch79
50 1728912094166.2612 1728912095229.7302 1063.468994140625 1065.730224609375 redis-benchmark-00001-deployment-847b675f9c-f5z6v
500 1728912087735.2578 1728912095729.5474 7994.28955078125 7997.54736328125 redis-benchmark-00001-deployment-847b675f9c-nclwh
150 1728912093913.6775 1728912096136.6711 2222.99365234375 2225.671142578125 redis-benchmark-00001-deployment-847b675f9c-c424g
200 1728912095324.0825 1728912098434.9097 3110.8271484375 3115.90966796875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
700 1728912092248.6174 1728912103043.2007 10794.583251953125 10798.20068359375 redis-benchmark-00001-deployment-847b675f9c-fqbkm
2 1728912103120.6333 1728912103135.1826 14.54931640625 18.1826171875 redis-benchmark-00001-deployment-847b675f9c-n7x67
15 1728912103168.982 1728912103342.0154 173.033447265625 176.015380859375 redis-benchmark-00001-deployment-847b675f9c-842cx
5 1728912103433.5881 1728912103532.6885 99.100341796875 101.6884765625 redis-benchmark-00001-deployment-847b675f9c-q2q2t
2000 1728912073269.5583 1728912104136.974 30867.415771484375 30869.97412109375 redis-benchmark-00001-deployment-847b675f9c-np498
1 1728912104229.2627 1728912104236.5283 7.265625 10.5283203125 redis-benchmark-00001-deployment-847b675f9c-c4l4g
15 1728912104279.374 1728912104733.3325 453.95849609375 457.33251953125 redis-benchmark-00001-deployment-847b675f9c-bcwgd
5 1728912104795.1748 1728912104931.2046 136.02978515625 139.20458984375 redis-benchmark-00001-deployment-847b675f9c-6gd7m
15 1728912104947.5574 1728912105232.6245 285.067138671875 287.62451171875 redis-benchmark-00001-deployment-847b675f9c-6sjwl
5 1728912105244.5557 1728912105340.269 95.71337890625 98.26904296875 redis-benchmark-00001-deployment-847b675f9c-td22z
500 1728912098478.757 1728912105931.5647 7452.8076171875 7455.564697265625 redis-benchmark-00001-deployment-847b675f9c-ldp9k
1 1728912105994.6995 1728912106034.4194 39.719970703125 44.41943359375 redis-benchmark-00001-deployment-847b675f9c-nclwh
200 1728912103575.2131 1728912106442.1355 2866.92236328125 2870.135498046875 redis-benchmark-00001-deployment-847b675f9c-hqgjz
15 1728912106503.289 1728912106833.4543 330.165283203125 333.454345703125 redis-benchmark-00001-deployment-847b675f9c-np498
50 1728912106053.9954 1728912106928.692 874.696533203125 877.69189453125 redis-benchmark-00001-deployment-847b675f9c-dch79
2000 1728912076284.7766 1728912107531.5437 31246.76708984375 31249.543701171875 redis-benchmark-00001-deployment-847b675f9c-fqbkm
30 1728912106940.9473 1728912107537.0635 596.1162109375 599.0634765625 redis-benchmark-00001-deployment-847b675f9c-fqbkm
2 1728912107592.7046 1728912107634.837 42.13232421875 44.8369140625 redis-benchmark-00001-deployment-847b675f9c-fb65p
3 1728912107650.6565 1728912107737.1543 86.497802734375 89.154296875 redis-benchmark-00001-deployment-847b675f9c-chwrr
3 1728912107748.9385 1728912107836.7139 87.775390625 90.7138671875 redis-benchmark-00001-deployment-847b675f9c-c424g
1000 1728912092957.985 1728912107842.6343 14884.649169921875 14887.63427734375 redis-benchmark-00001-deployment-847b675f9c-fb65p
25 1728912107773.9856 1728912108128.2734 354.287841796875 357.2734375 redis-benchmark-00001-deployment-847b675f9c-f5z6v
1 1728912108076.4368 1728912108133.4695 57.03271484375 62.469482421875 redis-benchmark-00001-deployment-847b675f9c-m2sv4
150 1728912106852.3125 1728912108929.5234 2077.2109375 2082.5234375 redis-benchmark-00001-deployment-847b675f9c-82ttn
100 1728912107854.5215 1728912109035.894 1181.37255859375 1183.89404296875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
30 1728912108942.534 1728912109430.3154 487.781494140625 490.3154296875 redis-benchmark-00001-deployment-847b675f9c-n7x67
3 1728912109667.841 1728912109831.6804 163.83935546875 166.680419921875 redis-benchmark-00001-deployment-847b675f9c-q2q2t
4000 1728912044727.6958 1728912110034.8857 65307.18994140625 65309.8857421875 redis-benchmark-00001-deployment-847b675f9c-hqgjz
4000 1728912044727.2644 1728912110131.6748 65404.410400390625 65407.6748046875 redis-benchmark-00001-deployment-847b675f9c-q2q2t
4000 1728912044728.552 1728912110534.4612 65805.9091796875 65808.46118164062 redis-benchmark-00001-deployment-847b675f9c-bcwgd
50 1728912110217.9592 1728912110829.2622 611.302978515625 616.26220703125 redis-benchmark-00001-deployment-847b675f9c-bcwgd
1000 1728912096157.3606 1728912110933.917 14776.556396484375 14778.9169921875 redis-benchmark-00001-deployment-847b675f9c-p2lfw
200 1728912109273.0542 1728912112234.4846 2961.430419921875 2964.484619140625 redis-benchmark-00001-deployment-847b675f9c-842cx
500 1728912105577.6636 1728912112634.7756 7057.112060546875 7059.775634765625 redis-benchmark-00001-deployment-847b675f9c-pj79f
25 1728912112320.234 1728912112640.3481 320.1142578125 323.34814453125 redis-benchmark-00001-deployment-847b675f9c-pj79f
50 1728912112660.806 1728912113237.1067 576.30078125 579.106689453125 redis-benchmark-00001-deployment-847b675f9c-nclwh
200 1728912110622.7964 1728912113238.4348 2615.638427734375 2620.434814453125 redis-benchmark-00001-deployment-847b675f9c-6gd7m
5 1728912113303.1953 1728912113338.6624 35.467041015625 38.662353515625 redis-benchmark-00001-deployment-847b675f9c-np498
4000 1728912049696.1921 1728912113641.4548 63945.2626953125 63948.454833984375 redis-benchmark-00001-deployment-847b675f9c-pj79f
40 1728912113476.0151 1728912113936.0435 460.0283203125 463.04345703125 redis-benchmark-00001-deployment-847b675f9c-fqbkm
1 1728912113964.2805 1728912114033.001 68.720458984375 72.0009765625 redis-benchmark-00001-deployment-847b675f9c-chwrr
40 1728912113737.267 1728912114235.311 498.0439453125 501.31103515625 redis-benchmark-00001-deployment-847b675f9c-fb65p
25 1728912114068.9192 1728912114629.8691 560.949951171875 563.869140625 redis-benchmark-00001-deployment-847b675f9c-c424g
150 1728912112719.893 1728912114632.24 1912.346923828125 1915.239990234375 redis-benchmark-00001-deployment-847b675f9c-dch79
15 1728912114678.479 1728912115031.208 352.72900390625 356.2080078125 redis-benchmark-00001-deployment-847b675f9c-m2sv4
50 1728912115110.9246 1728912115642.7986 531.8740234375 534.798583984375 redis-benchmark-00001-deployment-847b675f9c-p2lfw
30 1728912115705.972 1728912116035.058 329.086181640625 333.05810546875 redis-benchmark-00001-deployment-847b675f9c-ldp9k
500 1728912109916.9358 1728912116330.9702 6414.034423828125 6416.97021484375 redis-benchmark-00001-deployment-847b675f9c-hqgjz
150 1728912114652.4158 1728912116532.972 1880.55615234375 1882.971923828125 redis-benchmark-00001-deployment-847b675f9c-ldw4v
250 1728912113434.4077 1728912116632.8628 3198.455078125 3200.86279296875 redis-benchmark-00001-deployment-847b675f9c-82ttn
150 1728912116351.8271 1728912118539.4333 2187.606201171875 2190.433349609375 redis-benchmark-00001-deployment-847b675f9c-842cx
150 1728912116646.7856 1728912118845.818 2199.032470703125 2201.818115234375 redis-benchmark-00001-deployment-847b675f9c-q2q2t
150 1728912116771.004 1728912118938.3557 2167.351806640625 2170.355712890625 redis-benchmark-00001-deployment-847b675f9c-hqgjz
200 1728912116145.1755 1728912119028.603 2883.427490234375 2888.60302734375 redis-benchmark-00001-deployment-847b675f9c-n7x67
25 1728912118968.4395 1728912119332.4434 364.00390625 368.443359375 redis-benchmark-00001-deployment-847b675f9c-6gd7m
2 1728912119369.2395 1728912119434.8115 65.572021484375 68.8115234375 redis-benchmark-00001-deployment-847b675f9c-td22z
3 1728912119482.7588 1728912119628.8774 146.11865234375 148.87744140625 redis-benchmark-00001-deployment-847b675f9c-pj79f
50 1728912119078.5913 1728912120034.3105 955.71923828125 962.310546875 redis-benchmark-00001-deployment-847b675f9c-6sjwl
100 1728912118779.1584 1728912120333.381 1554.22265625 1557.381103515625 redis-benchmark-00001-deployment-847b675f9c-c4l4g
40 1728912120056.1443 1728912120543.263 487.11865234375 490.262939453125 redis-benchmark-00001-deployment-847b675f9c-dch79
150 1728912118923.429 1728912121034.1936 2110.7646484375 2114.193603515625 redis-benchmark-00001-deployment-847b675f9c-bcwgd
4000 1728912060446.6653 1728912121336.5244 60889.859130859375 60892.5244140625 redis-benchmark-00001-deployment-847b675f9c-ldw4v
1000 1728912108218.8618 1728912121439.143 13220.28125 13223.14306640625 redis-benchmark-00001-deployment-847b675f9c-ldp9k
100 1728912120619.6665 1728912121837.4888 1217.822265625 1221.48876953125 redis-benchmark-00001-deployment-847b675f9c-82ttn
30 1728912121573.9094 1728912122232.1736 658.26416015625 661.173583984375 redis-benchmark-00001-deployment-847b675f9c-chwrr
1 1728912122317.571 1728912122333.9329 16.36181640625 19.932861328125 redis-benchmark-00001-deployment-847b675f9c-f5z6v
25 1728912122354.4023 1728912122828.1128 473.71044921875 476.11279296875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
2000 1728912095744.7104 1728912123943.0789 28198.368408203125 28201.078857421875 redis-benchmark-00001-deployment-847b675f9c-m2sv4
100 1728912123067.1362 1728912124233.0637 1165.927490234375 1169.063720703125 redis-benchmark-00001-deployment-847b675f9c-m2sv4
30 1728912124262.4216 1728912125029.4016 766.97998046875 770.401611328125 redis-benchmark-00001-deployment-847b675f9c-ldp9k
50 1728912125065.652 1728912125731.1755 665.5234375 668.175537109375 redis-benchmark-00001-deployment-847b675f9c-n7x67
500 1728912121861.6333 1728912128736.8867 6875.25341796875 6877.88671875 redis-benchmark-00001-deployment-847b675f9c-c424g
250 1728912125779.975 1728912129136.942 3356.966796875 3359.94189453125 redis-benchmark-00001-deployment-847b675f9c-842cx
700 1728912119707.9543 1728912129241.8518 9533.8974609375 9536.851806640625 redis-benchmark-00001-deployment-847b675f9c-nclwh
3 1728912129304.6313 1728912129336.6184 31.987060546875 34.618408203125 redis-benchmark-00001-deployment-847b675f9c-c4l4g
2000 1728912108213.2202 1728912135729.7659 27516.545654296875 27519.765869140625 redis-benchmark-00001-deployment-847b675f9c-p2lfw
2000 1728912110119.0918 1728912137442.3428 27323.2509765625 27326.3427734375 redis-benchmark-00001-deployment-847b675f9c-c4l4g
150 1728912135752.5166 1728912138029.3286 2276.81201171875 2281.32861328125 redis-benchmark-00001-deployment-847b675f9c-6gd7m
2000 1728912110893.7607 1728912138638.6611 27744.900390625 27747.6611328125 redis-benchmark-00001-deployment-847b675f9c-6sjwl
1 1728912138738.562 1728912138829.647 91.0849609375 93.64697265625 redis-benchmark-00001-deployment-847b675f9c-pj79f
5 1728912138844.941 1728912138940.902 95.961181640625 100.902099609375 redis-benchmark-00001-deployment-847b675f9c-nclwh
15 1728912139017.0063 1728912139228.9849 211.978515625 214.98486328125 redis-benchmark-00001-deployment-847b675f9c-dch79
150 1728912137507.1794 1728912139329.4937 1822.314208984375 1825.49365234375 redis-benchmark-00001-deployment-847b675f9c-6sjwl
40 1728912139263.275 1728912140139.4941 876.21923828125 878.494140625 redis-benchmark-00001-deployment-847b675f9c-np498
4000 1728912083152.9182 1728912140834.4524 57681.5341796875 57684.452392578125 redis-benchmark-00001-deployment-847b675f9c-n7x67
200 1728912138269.2925 1728912141034.4143 2765.121826171875 2768.414306640625 redis-benchmark-00001-deployment-847b675f9c-td22z
50 1728912140912.4795 1728912141442.923 530.443603515625 532.923095703125 redis-benchmark-00001-deployment-847b675f9c-fb65p
2000 1728912114248.7148 1728912141832.5347 27583.81982421875 27586.53466796875 redis-benchmark-00001-deployment-847b675f9c-f5z6v
4000 1728912084365.6863 1728912142440.1387 58074.452392578125 58077.138671875 redis-benchmark-00001-deployment-847b675f9c-6sjwl
1000 1728912129444.7021 1728912143638.2349 14193.53271484375 14196.23486328125 redis-benchmark-00001-deployment-847b675f9c-bcwgd
200 1728912141070.586 1728912143738.5288 2667.94287109375 2670.52880859375 redis-benchmark-00001-deployment-847b675f9c-chwrr
3 1728912143774.7136 1728912143836.6367 61.923095703125 64.63671875 redis-benchmark-00001-deployment-847b675f9c-p2lfw
200 1728912141477.8682 1728912144136.0044 2658.13623046875 2661.00439453125 redis-benchmark-00001-deployment-847b675f9c-c424g
50 1728912144228.8098 1728912145132.8708 904.06103515625 907.870849609375 redis-benchmark-00001-deployment-847b675f9c-n7x67
2 1728912145177.138 1728912145235.793 58.655029296875 61.79296875 redis-benchmark-00001-deployment-847b675f9c-842cx
150 1728912143884.59 1728912145938.3567 2053.7666015625 2056.356689453125 redis-benchmark-00001-deployment-847b675f9c-ldp9k
2 1728912146018.311 1728912146034.5303 16.21923828125 19.5302734375 redis-benchmark-00001-deployment-847b675f9c-hqgjz
100 1728912145297.141 1728912146528.4238 1231.28271484375 1234.423828125 redis-benchmark-00001-deployment-847b675f9c-q2q2t
250 1728912143687.9832 1728912147436.616 3748.6328125 3752.615966796875 redis-benchmark-00001-deployment-847b675f9c-m2sv4
40 1728912146546.013 1728912147627.7522 1081.7392578125 1085.752197265625 redis-benchmark-00001-deployment-847b675f9c-bcwgd
1 1728912147640.7622 1728912147731.5862 90.823974609375 94.586181640625 redis-benchmark-00001-deployment-847b675f9c-6sjwl
40 1728912147462.0608 1728912147939.4236 477.36279296875 481.423583984375 redis-benchmark-00001-deployment-847b675f9c-6gd7m
2000 1728912121459.7466 1728912148941.9902 27482.24365234375 27484.990234375 redis-benchmark-00001-deployment-847b675f9c-fb65p
250 1728912148017.52 1728912151230.7776 3213.257568359375 3215.777587890625 redis-benchmark-00001-deployment-847b675f9c-pj79f
5 1728912151254.872 1728912151340.6423 85.770263671875 88.642333984375 redis-benchmark-00001-deployment-847b675f9c-dch79
2000 1728912124019.8477 1728912151628.5305 27608.682861328125 27611.530517578125 redis-benchmark-00001-deployment-847b675f9c-p2lfw
700 1728912142531.622 1728912151632.3618 9100.73974609375 9103.36181640625 redis-benchmark-00001-deployment-847b675f9c-ldw4v
5 1728912151664.1008 1728912151829.3418 165.240966796875 168.341796875 redis-benchmark-00001-deployment-847b675f9c-82ttn
200 1728912151408.2815 1728912154030.911 2622.62939453125 2627.910888671875 redis-benchmark-00001-deployment-847b675f9c-np498
150 1728912154052.1958 1728912156031.3657 1979.169921875 1982.36572265625 redis-benchmark-00001-deployment-847b675f9c-chwrr
2000 1728912129217.0325 1728912156142.4531 26925.420654296875 26928.453125 redis-benchmark-00001-deployment-847b675f9c-hqgjz
350 1728912151921.7341 1728912156236.8152 4315.0810546875 4317.815185546875 redis-benchmark-00001-deployment-847b675f9c-fb65p
150 1728912156151.4072 1728912158232.9932 2081.5859375 2084.9931640625 redis-benchmark-00001-deployment-847b675f9c-c424g
150 1728912156280.0234 1728912158332.3704 2052.346923828125 2055.370361328125 redis-benchmark-00001-deployment-847b675f9c-ldw4v
5 1728912158393.7275 1728912158438.655 44.927490234375 47.655029296875 redis-benchmark-00001-deployment-847b675f9c-p2lfw
1000 1728912146096.8438 1728912158934.686 12837.84228515625 12840.68603515625 redis-benchmark-00001-deployment-847b675f9c-c4l4g
50 1728912159043.4175 1728912159836.514 793.096435546875 796.513916015625 redis-benchmark-00001-deployment-847b675f9c-n7x67
25 1728912159882.9338 1728912160140.2388 257.304931640625 260.23876953125 redis-benchmark-00001-deployment-847b675f9c-842cx
200 1728912158296.8506 1728912160538.7944 2241.94384765625 2244.79443359375 redis-benchmark-00001-deployment-847b675f9c-m2sv4
1000 1728912151681.651 1728912163935.087 12253.43603515625 12260.0869140625 redis-benchmark-00001-deployment-847b675f9c-fqbkm
700 1728912156205.3083 1728912164630.9995 8425.691162109375 8428.99951171875 redis-benchmark-00001-deployment-847b675f9c-f5z6v
8000 1728912048627.0806 1728912165741.6772 117114.5966796875 117117.67724609375 redis-benchmark-00001-deployment-847b675f9c-bcwgd
2000 1728912140232.9749 1728912165828.332 25595.357177734375 25599.33203125 redis-benchmark-00001-deployment-847b675f9c-fqbkm
25 1728912165874.006 1728912166137.5178 263.51171875 266.517822265625 redis-benchmark-00001-deployment-847b675f9c-6sjwl
250 1728912163999.4612 1728912166934.9753 2935.51416015625 2938.975341796875 redis-benchmark-00001-deployment-847b675f9c-c4l4g
1000 1728912158454.7305 1728912169435.1235 10980.39306640625 10983.12353515625 redis-benchmark-00001-deployment-847b675f9c-ldp9k
4000 1728912120362.309 1728912171228.9778 50866.668701171875 50869.977783203125 redis-benchmark-00001-deployment-847b675f9c-np498
1000 1728912160549.4192 1728912171628.0823 11078.6630859375 11081.082275390625 redis-benchmark-00001-deployment-847b675f9c-hqgjz
40 1728912171750.229 1728912172437.2244 686.995361328125 690.224365234375 redis-benchmark-00001-deployment-847b675f9c-np498
3 1728912172451.0134 1728912172632.1453 181.1318359375 186.145263671875 redis-benchmark-00001-deployment-847b675f9c-82ttn
700 1728912164740.5784 1728912172741.0496 8000.47119140625 8004.049560546875 redis-benchmark-00001-deployment-847b675f9c-bcwgd
4000 1728912121069.5378 1728912172830.7354 51761.197509765625 51763.7353515625 redis-benchmark-00001-deployment-847b675f9c-fqbkm
2 1728912172752.5264 1728912172833.7112 81.184814453125 84.711181640625 redis-benchmark-00001-deployment-847b675f9c-fqbkm
3 1728912172903.782 1728912172934.7747 30.99267578125 33.774658203125 redis-benchmark-00001-deployment-847b675f9c-chwrr
2000 1728912149182.689 1728912173433.9836 24251.294677734375 24253.983642578125 redis-benchmark-00001-deployment-847b675f9c-nclwh
200 1728912171265.335 1728912173536.339 2271.004150390625 2274.339111328125 redis-benchmark-00001-deployment-847b675f9c-dch79
15 1728912173464.216 1728912173636.4722 172.256103515625 175.47216796875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
700 1728912166951.5444 1728912174837.7217 7886.17724609375 7888.7216796875 redis-benchmark-00001-deployment-847b675f9c-pj79f
200 1728912173053.7449 1728912175531.0337 2477.288818359375 2481.03369140625 redis-benchmark-00001-deployment-847b675f9c-f5z6v
250 1728912172786.9587 1728912175543.3882 2756.429443359375 2759.38818359375 redis-benchmark-00001-deployment-847b675f9c-fb65p
3 1728912175552.9702 1728912175635.0698 82.099609375 85.06982421875 redis-benchmark-00001-deployment-847b675f9c-n7x67
2 1728912175662.267 1728912175734.4436 72.176513671875 75.443603515625 redis-benchmark-00001-deployment-847b675f9c-q2q2t
350 1728912174849.5193 1728912178930.4895 4080.97021484375 4084.489501953125 redis-benchmark-00001-deployment-847b675f9c-ldp9k
